number,layer_name,is_dw,input_layer,input_shape,weight_shape,bias_shape,output_shape,comp cost,kernel,stride,pad,relu,weight_scale,data_scale,data_scale_prev
0,conv0,0,-1,"1,3,208,208","16,3,3,3","16,","1,16,104,104",4672512,"3,3","2,2","1,1",1,,,
1,conv1/dw,1,0,"1,16,104,104","16,1,3,3","16,","1,16,52,52",389376,"3,3","2,2","1,1",1,,,
2,conv1,0,1,"1,16,52,52","32,16,1,1","32,","1,32,52,52",1384448,"1,1","1,1","0,0",1,,,
3,conv2/dw,1,2,"1,32,52,52","32,1,3,3","32,","1,32,52,52",778752,"3,3","1,1","1,1",1,,,
4,conv2,0,3,"1,32,52,52","64,32,1,1","64,","1,64,52,52",5537792,"1,1","1,1","0,0",1,,,
5,conv3/dw,1,4,"1,64,52,52","64,1,3,3","64,","1,64,52,52",1557504,"3,3","1,1","1,1",1,,,
6,conv3,0,5,"1,64,52,52","64,64,1,1","64,","1,64,52,52",11075584,"1,1","1,1","0,0",1,,,
7,conv4/dw,1,6,"1,64,52,52","64,1,3,3","64,","1,64,26,26",389376,"3,3","2,2","1,1",1,,,
8,conv4,0,7,"1,64,26,26","128,64,1,1","128,","1,128,26,26",5537792,"1,1","1,1","0,0",1,,,
9,conv5/dw,1,8,"1,128,26,26","128,1,3,3","128,","1,128,26,26",778752,"3,3","1,1","1,1",1,,,
10,conv5,0,9,"1,128,26,26","128,128,1,1","128,","1,128,26,26",11075584,"1,1","1,1","0,0",1,,,
11,conv6/dw,1,10,"1,128,26,26","128,1,3,3","128,","1,128,13,13",194688,"3,3","2,2","1,1",1,,,
12,conv6,0,11,"1,128,13,13","256,128,1,1","256,","1,256,13,13",5537792,"1,1","1,1","0,0",1,,,
13,conv7/dw,1,12,"1,256,13,13","256,1,3,3","256,","1,256,13,13",389376,"3,3","1,1","1,1",1,,,
14,conv7,0,13,"1,256,13,13","256,256,1,1","256,","1,256,13,13",11075584,"1,1","1,1","0,0",1,,,
15,conv8/dw,1,14,"1,256,13,13","256,1,3,3","256,","1,256,13,13",389376,"3,3","1,1","1,1",1,,,
16,conv8,0,15,"1,256,13,13","256,256,1,1","256,","1,256,13,13",11075584,"1,1","1,1","0,0",1,,,
17,conv9/dw,1,16,"1,256,13,13","256,1,3,3","256,","1,256,13,13",389376,"3,3","1,1","1,1",1,,,
18,conv9,0,17,"1,256,13,13","256,256,1,1","256,","1,256,13,13",11075584,"1,1","1,1","0,0",1,,,
19,conv10/dw,1,18,"1,256,13,13","256,1,3,3","256,","1,256,13,13",389376,"3,3","1,1","1,1",1,,,
20,conv10,0,19,"1,256,13,13","256,256,1,1","256,","1,256,13,13",11075584,"1,1","1,1","0,0",1,,,
21,conv11/dw,1,20,"1,256,13,13","256,1,3,3","256,","1,256,13,13",389376,"3,3","1,1","1,1",1,,,
22,conv11,0,21,"1,256,13,13","256,256,1,1","256,","1,256,13,13",11075584,"1,1","1,1","0,0",1,,,
23,conv12/dw,1,22,"1,256,13,13","256,1,3,3","256,","1,256,7,7",112896,"3,3","2,2","1,1",1,,,
24,conv12,0,23,"1,256,7,7","512,256,1,1","512,","1,512,7,7",6422528,"1,1","1,1","0,0",1,,,
25,conv13/dw,1,24,"1,512,7,7","512,1,3,3","512,","1,512,7,7",225792,"3,3","1,1","1,1",1,,,
26,conv13,0,25,"1,512,7,7","512,512,1,1","512,","1,512,7,7",12845056,"1,1","1,1","0,0",1,,,
,,,,,,,,125841024,,,,,,,
