label	name
0	2221
0	2222
0	2223
0	2224
0	2225
0	2226
0	2227
0	2228
0	2229
0	2230
0	2231
0	2232
0	2233
0	2234
0	2235
0	2236
0	2237
0	2239
0	2240
0	2241
0	2242
0	2243
0	2244
0	2245
0	2246
0	2247
0	2248
0	2249
0	2251
0	2252
0	2253
0	2254
0	2255
0	2256
0	2257
0	2258
0	2259
0	2261
0	2262
0	2263
0	2264
0	2265
0	2266
0	2267
0	2268
0	2269
0	2270
0	2271
0	2272
0	2273
0	2274
0	2275
0	2276
0	2277
0	2278
0	2279
0	2280
0	2281
0	2282
0	2283
0	2284
0	2285
0	2286
0	2287
0	2288
0	2289
0	2290
0	2291
0	2292
0	2293
0	2294
0	2295
0	2296
0	2297
0	2298
0	2299
0	2300
0	2301
0	2302
0	2303
0	2304
0	2305
0	2306
0	2307
0	2308
0	2309
0	2310
0	2311
0	2312
0	2313
0	2314
0	2315
0	2316
0	2317
0	2318
0	2319
0	2320
0	2321
0	2322
0	2323
0	2324
0	2325
0	2326
0	2327
0	2328
0	2329
0	2330
0	2331
0	2332
0	2333
0	2334
0	2335
0	2336
0	2337
0	2338
0	2339
0	2340
0	2341
0	2342
0	2343
0	2344
0	2345
0	2346
0	2347
0	2348
0	2349
0	2350
0	2351
0	2352
0	2353
0	2354
0	2355
0	2356
0	2357
0	2358
0	2359
0	2360
0	2361
0	2362
0	2363
0	2364
0	2365
0	2366
0	2367
0	2368
0	2369
0	2370
0	2371
0	2372
0	2373
0	2374
0	2375
0	2376
0	2377
0	2378
0	2379
0	2380
0	2381
0	2382
0	2383
0	2384
0	2385
0	2386
0	2387
0	2388
0	2389
0	2390
0	2391
0	2392
0	2393
0	2394
0	2395
0	2396
0	2397
0	2398
0	2399
0	2400
0	2401
0	2402
0	2403
0	2404
0	2405
0	2406
0	2407
0	2408
0	2409
0	2410
0	2411
0	2412
0	2413
0	2414
0	2415
0	2416
0	2417
0	2418
0	2419
0	2420
0	2421
0	2422
0	2423
0	2424
0	2425
0	2426
0	2427
0	2428
0	2429
0	2430
0	2431
0	2432
0	2433
0	2434
0	2435
0	2436
0	2437
0	2438
0	2439
0	2440
0	2441
0	2442
0	2443
0	2444
0	2445
0	2446
0	2447
0	2448
0	2449
0	2450
0	2451
0	2452
0	2453
0	2454
0	2455
0	2456
0	2457
0	2458
0	2459
0	2460
0	2461
0	2462
0	2463
0	2464
0	2465
0	2466
0	2467
0	2468
0	2469
0	2470
0	2471
0	2472
0	2473
0	2474
0	2475
0	2476
0	2477
0	2478
0	2479
0	2480
0	2481
0	2482
0	2483
0	2484
0	2485
0	2486
0	2487
0	2488
0	2489
0	2490
0	2491
0	2492
0	2493
0	2494
0	2495
0	2496
0	2497
0	2498
0	2499
0	2500
1	4557
1	4558
1	4559
1	4561
1	4562
1	4564
1	4567
1	4568
1	4569
1	4572
1	4573
1	4574
1	4575
1	4576
1	4577
1	4578
1	4579
1	4581
1	4582
1	4583
1	4584
1	4585
1	4587
1	4588
1	4589
1	4594
1	4595
1	4596
1	4598
1	4600
1	4602
1	4603
1	4605
1	4606
1	4607
1	4608
1	4611
1	4613
1	4617
1	4618
1	4619
1	4621
1	4622
1	4630
1	4633
1	4634
1	4637
1	4638
1	4640
1	4641
1	4643
1	4644
1	4648
1	4649
1	4650
1	4651
1	4652
1	4653
1	4654
1	4656
1	4658
1	4659
1	4660
1	4662
1	4664
1	4665
1	4668
1	4669
1	4671
1	4673
1	4674
1	4675
1	4676
1	4679
1	4680
1	4681
1	4682
1	4684
1	4686
1	4688
1	4689
1	4693
1	4694
1	4696
1	4697
1	4700
1	4702
1	4704
1	4706
1	4709
1	4710
1	4712
1	4713
1	4716
1	4719
1	4721
1	4722
1	4723
1	4724
1	4728
1	4729
1	4730
1	4731
1	4732
1	4733
1	4735
1	4739
1	4740
1	4742
1	4743
1	4744
1	4745
1	4747
1	4748
1	4749
1	4750
1	4751
1	4752
1	4755
1	4756
1	4757
1	4758
1	4762
1	4765
1	4772
1	4773
1	4780
1	4781
1	4783
1	4785
1	4786
1	4787
1	4788
1	4789
1	4790
1	4791
1	4793
1	4798
1	4801
1	4803
1	4804
1	4805
1	4806
1	4808
1	4809
1	4810
1	4811
1	4812
1	4814
1	4815
1	4816
1	4817
1	4818
1	4821
1	4822
1	4823
1	4825
1	4826
1	4828
1	4830
1	4832
1	4833
1	4834
1	4836
1	4837
1	4838
1	4841
1	4842
1	4843
1	4844
1	4846
1	4849
1	4850
1	4851
1	4855
1	4858
1	4859
1	4860
1	4863
1	4864
1	4867
1	4868
1	4869
1	4870
1	4871
1	4872
1	4873
1	4874
1	4875
1	4876
1	4877
1	4878
1	4879
1	4880
1	4881
1	4883
1	4885
1	4886
1	4887
1	4891
1	4892
1	4893
1	4894
1	4895
1	4896
1	4897
1	4898
1	4900
1	4901
1	4902
1	4903
1	4905
1	4908
1	4909
1	4910
1	4911
1	4912
1	4913
1	4914
1	4915
1	4916
1	4917
1	4918
1	4919
1	4920
1	4921
1	4925
1	4927
1	4928
1	4934
1	4940
1	4941
1	4944
1	4945
1	4951
1	4953
1	4955
1	4956
1	4958
1	4961
1	4964
1	4966
1	4967
1	4969
1	4970
1	4971
1	4972
1	4973
1	4974
1	4975
1	4977
1	4978
1	4979
1	4980
1	4981
1	4982
1	4983
1	4984
1	4985
1	4988
1	4989
1	4990
1	4991
1	4992
1	5000
1	5005
1	5006
1	5007
1	5008
1	5009
1	5010
1	5012
1	5014
1	5015
1	5017
1	5018
1	5019
1	5021
1	5025
